Date,High,Low,Open,Close
17-06-2015,0.0102643,0.0096422,0.00968877,0.0102521
18-06-2015,0.0113201,0.0102775,0.0102791,0.0112069
19-06-2015,0.0112876,0.0108543,0.0112876,0.0110393
20-06-2015,0.0110676,0.0102153,0.0110303,0.010314
21-06-2015,0.0105674,0.0102517,0.0102947,0.0105669
22-06-2015,0.0107127,0.0104846,0.0105681,0.0106671
23-06-2015,0.0110887,0.0106389,0.0106672,0.0109142
24-06-2015,0.0110556,0.0108957,0.0109105,0.0110479
25-06-2015,0.0112941,0.011029,0.0110484,0.0112876
26-06-2015,0.0115823,0.0112874,0.0112896,0.0114447
27-06-2015,0.011477,0.011268,0.0114443,0.0114671
28-06-2015,0.012011,0.011485,0.0114873,0.0119766
29-06-2015,0.0120169,0.0113195,0.0119704,0.0113195
30-06-2015,0.0114055,0.0110273,0.0113174,0.0111984
01-07-2015,0.0112433,0.0109692,0.0111947,0.0110368
02-07-2015,0.0111053,0.0110039,0.0110377,0.0110992
03-07-2015,0.0111055,0.010774,0.0110995,0.010782
04-07-2015,0.0107851,0.00998587,0.0107702,0.0100215
05-07-2015,0.0101956,0.00987258,0.0100211,0.00987258
06-07-2015,0.00995352,0.00948675,0.00988217,0.00958015
07-07-2015,0.00963328,0.00938612,0.00957245,0.00944903
08-07-2015,0.00948578,0.00896055,0.00946666,0.00898701
09-07-2015,0.00935234,0.00880597,0.00895607,0.00884711
10-07-2015,0.00890944,0.0086044,0.00884767,0.00861511
11-07-2015,0.00877852,0.0085848,0.00861117,0.00861367
12-07-2015,0.00861313,0.00821346,0.00861043,0.00856894
13-07-2015,0.0087275,0.0085455,0.00856461,0.00863059
14-07-2015,0.00870971,0.00850379,0.00863818,0.00851569
15-07-2015,0.00857846,0.00805884,0.00851295,0.0080619
16-07-2015,0.00806694,0.00795176,0.00806093,0.00802556
17-07-2015,0.00808046,0.00799674,0.00802315,0.00805963
18-07-2015,0.00809367,0.00800693,0.00806131,0.00809126
19-07-2015,0.0081623,0.00794313,0.00809317,0.00794842
20-07-2015,0.00795086,0.00769921,0.00795086,0.00771126
21-07-2015,0.00771376,0.00757058,0.00770808,0.00757859
22-07-2015,0.00758189,0.00744719,0.0075793,0.00748672
23-07-2015,0.00769711,0.00747321,0.00748558,0.00765631
24-07-2015,0.00789213,0.0076319,0.00765464,0.00788838
25-07-2015,0.0081251,0.00780597,0.0078875,0.00811529
26-07-2015,0.00857852,0.00811469,0.00811564,0.00856235
27-07-2015,0.00860239,0.00844638,0.00856544,0.00844863
28-07-2015,0.00854922,0.00827183,0.00845079,0.00851873
29-07-2015,0.008582,0.00847125,0.00851679,0.00849065
30-07-2015,0.00849393,0.00842045,0.00849356,0.00843686
31-07-2015,0.008441,0.00822008,0.00843848,0.00822199
01-08-2015,0.00823193,0.00817047,0.00822489,0.00822998
02-08-2015,0.00832054,0.00822287,0.00822981,0.00828083
03-08-2015,0.00831978,0.00826256,0.00827701,0.00827137
04-08-2015,0.00828649,0.00822076,0.00826408,0.00822449
05-08-2015,0.00822544,0.00802426,0.00822525,0.00802447
06-08-2015,0.00815256,0.00798861,0.00801964,0.00815244
07-08-2015,0.00870775,0.00816353,0.00816353,0.00847606
08-08-2015,0.00882337,0.00847233,0.00848369,0.00880794
09-08-2015,0.00890459,0.00874647,0.00881173,0.00875015
10-08-2015,0.00876591,0.00859063,0.00875064,0.00859063
11-08-2015,0.00859324,0.0082711,0.00859147,0.0082711
12-08-2015,0.00826723,0.00814586,0.0082665,0.00814718
13-08-2015,0.00833923,0.00807535,0.00814794,0.00833676
14-08-2015,0.00846535,0.00832519,0.00832974,0.00842036
15-08-2015,0.00841919,0.00830997,0.00841919,0.00831485
16-08-2015,0.00836124,0.00826598,0.00831379,0.00830144
17-08-2015,0.00833359,0.00755184,0.00830057,0.00755184
18-08-2015,0.00794706,0.00752551,0.00752551,0.00775847
19-08-2015,0.0078721,0.00771861,0.00776027,0.00787194
20-08-2015,0.00791285,0.00784683,0.00787125,0.00788082
21-08-2015,0.00788763,0.00771224,0.00787825,0.00772195
22-08-2015,0.00772289,0.00754295,0.00772184,0.00755212
23-08-2015,0.00764921,0.0073913,0.0075526,0.00739715
24-08-2015,0.0073989,0.00709342,0.0073989,0.00712615
25-08-2015,0.00750678,0.0070407,0.00713302,0.00749195
26-08-2015,0.00761951,0.00747408,0.00747408,0.00755142
27-08-2015,0.00755524,0.00741901,0.00755524,0.00743276
28-08-2015,0.00775094,0.00736108,0.00742705,0.00775073
29-08-2015,0.00805179,0.00775058,0.00775058,0.00805045
30-08-2015,0.00809191,0.00787818,0.00806058,0.00788365
31-08-2015,0.00788773,0.00777072,0.00788409,0.00781497
